Legitimate Domain,Newly Registered Domain,Domain Similarity,Content Similarity,Title Similarity,Malicious IP,Redirects to Legitimate Domain,batch_index
dgshipping.gov.in,vishwashindustries.in,32.15873015873016,-1.0,17.021276595744684,0,0,0
dgshipping.gov.in,sroy.co.in,17.928571428571427,-1.0,-1.0,1,0,0
dgshipping.gov.in,parsstore.in,26.595238095238095,-1.0,12.765957446808507,0,0,0
dgshipping.gov.in,atmiyacncsolutions.in,20.523809523809522,-1.0,-1.0,0,0,0
dgshipping.gov.in,shradhahospital.in,39.93162393162393,-1.0,-1.0,0,0,0
dgshipping.gov.in,marzi.co.in,14.084415584415584,-1.0,19.14893617021277,0,0,0
dgshipping.gov.in,sidcollege.in,27.337662337662337,-1.0,-1.0,0,0,0
dgshipping.gov.in,ekayafootwear.co.in,6.052631578947367,0.0,-1.0,0,0,0
dgshipping.gov.in,elricaglobal.co.in,13.396825396825397,-1.0,17.021276595744684,0,0,0
dgshipping.gov.in,waggintales.in,26.14885114885115,0.0,-1.0,0,0,0
dgshipping.gov.in,101team.in,7.5,-1.0,19.14893617021277,0,0,0
dgshipping.gov.in,arnos.co.in,17.07142857142857,-1.0,-1.0,0,0,0
dgshipping.gov.in,manrtrashakthi.in,24.920814479638008,-1.0,-1.0,0,0,0
dgshipping.gov.in,echoxmedia.in,19.065934065934066,0.0,-1.0,0,0,0
dgshipping.gov.in,disstroyd.in,29.467532467532465,-1.0,-1.0,0,0,0
dgshipping.gov.in,cpcsc.in,29.095238095238095,-1.0,-1.0,0,0,0
dgshipping.gov.in,myallneeds.co.in,21.60989010989011,-1.0,-1.0,0,0,0
dgshipping.gov.in,superbuilder.co.in,26.305555555555557,0.0,-1.0,0,0,0
dgshipping.gov.in,poshhak.in,34.149350649350644,-1.0,-1.0,0,0,0
dgshipping.gov.in,miwebsite.in,18.678571428571423,-1.0,17.021276595744684,0,0,0
dgshipping.gov.in,stressfreefalcons.in,18.134615384615383,0.0,-1.0,0,0,0
dgshipping.gov.in,srbikescootyrentalservice.in,17.040149393090573,-1.0,21.276595744680847,0,0,0
dgshipping.gov.in,ciobridge.in,24.324175824175825,-1.0,17.021276595744684,0,0,0
dgshipping.gov.in,saltandseaadventures.in,21.015527950310556,0.0,-1.0,0,0,0
services.gst.gov.in,vishwashindustries.in,22.26190476190476,-1.0,14.70588235294118,0,0,0
services.gst.gov.in,sroy.co.in,25.285714285714285,-1.0,-1.0,1,0,0
services.gst.gov.in,parsstore.in,26.84126984126984,-1.0,17.647058823529417,0,0,0
services.gst.gov.in,atmiyacncsolutions.in,21.233211233211236,-1.0,-1.0,0,0,0
services.gst.gov.in,shradhahospital.in,25.205128205128204,-1.0,-1.0,0,0,0
services.gst.gov.in,marzi.co.in,9.318181818181818,-1.0,17.647058823529417,0,0,0
services.gst.gov.in,sidcollege.in,24.674825174825173,-1.0,-1.0,0,0,0
services.gst.gov.in,ekayafootwear.co.in,14.5080971659919,0.0,-1.0,0,0,0
services.gst.gov.in,elricaglobal.co.in,16.036324786324787,-1.0,20.588235294117652,0,0,0
services.gst.gov.in,waggintales.in,35.14935064935065,0.0,-1.0,0,0,0
services.gst.gov.in,101team.in,15.742424242424242,-1.0,20.588235294117652,0,0,0
services.gst.gov.in,arnos.co.in,17.56818181818182,-1.0,-1.0,0,0,0
services.gst.gov.in,manrtrashakthi.in,25.56149732620321,-1.0,-1.0,0,0,0
services.gst.gov.in,echoxmedia.in,7.582417582417582,0.0,-1.0,0,0,0
services.gst.gov.in,disstroyd.in,31.527777777777775,-1.0,-1.0,0,0,0
services.gst.gov.in,cpcsc.in,29.222222222222218,-1.0,-1.0,0,0,0
services.gst.gov.in,myallneeds.co.in,14.76190476190476,-1.0,-1.0,0,0,0
services.gst.gov.in,superbuilder.co.in,14.805555555555557,0.0,-1.0,0,0,0
services.gst.gov.in,poshhak.in,20.742424242424242,-1.0,-1.0,0,0,0
services.gst.gov.in,miwebsite.in,14.523809523809522,-1.0,14.70588235294118,0,0,0
services.gst.gov.in,stressfreefalcons.in,23.485576923076923,0.0,-1.0,0,0,0
services.gst.gov.in,srbikescootyrentalservice.in,21.26190476190476,-1.0,17.647058823529417,0,0,0
services.gst.gov.in,ciobridge.in,13.977272727272727,-1.0,17.647058823529417,0,0,0
services.gst.gov.in,saltandseaadventures.in,23.092809364548497,0.0,-1.0,0,0,0
www.bseindia.com,vishwashindustries.in,14.274581627522807,-1.0,-1.0,0,0,0
www.bseindia.com,sroy.co.in,17.40909090909091,-1.0,-1.0,1,0,0
www.bseindia.com,parsstore.in,9.999999999999998,-1.0,-1.0,0,0,0
www.bseindia.com,atmiyacncsolutions.in,15.442612942612943,-1.0,-1.0,0,0,0
www.bseindia.com,shradhahospital.in,10.73611111111111,-1.0,-1.0,0,0,0
www.bseindia.com,marzi.co.in,11.363636363636362,-1.0,-1.0,0,0,0
www.bseindia.com,sidcollege.in,23.435897435897438,-1.0,-1.0,0,0,0
www.bseindia.com,ekayafootwear.co.in,13.972211998527786,0.0,-1.0,0,0,0
www.bseindia.com,elricaglobal.co.in,21.56623931623932,-1.0,-1.0,0,0,0
www.bseindia.com,waggintales.in,15.967532467532468,0.0,-1.0,0,0,0
www.bseindia.com,101team.in,16.173076923076923,-1.0,-1.0,0,0,0
www.bseindia.com,arnos.co.in,16.558441558441558,-1.0,-1.0,0,0,0
www.bseindia.com,manrtrashakthi.in,11.949961802902978,-1.0,-1.0,0,0,0
www.bseindia.com,echoxmedia.in,18.15034965034965,0.0,-1.0,0,0,0
www.bseindia.com,disstroyd.in,14.97863247863248,-1.0,-1.0,0,0,0
www.bseindia.com,cpcsc.in,22.625,-1.0,-1.0,0,0,0
www.bseindia.com,myallneeds.co.in,26.875,-1.0,-1.0,0,0,0
www.bseindia.com,superbuilder.co.in,30.079365079365076,0.0,-1.0,0,0,0
www.bseindia.com,poshhak.in,16.173076923076923,-1.0,-1.0,0,0,0
www.bseindia.com,miwebsite.in,7.3809523809523805,-1.0,-1.0,0,0,0
www.bseindia.com,stressfreefalcons.in,19.79863886113886,0.0,-1.0,0,0,0
www.bseindia.com,srbikescootyrentalservice.in,25.708791208791208,-1.0,-1.0,0,0,0
www.bseindia.com,ciobridge.in,27.77777777777778,-1.0,-1.0,0,0,0
www.bseindia.com,saltandseaadventures.in,15.014328063241106,0.0,-1.0,0,0,0
www.icclindia.com,vishwashindustries.in,7.854808590102708,-1.0,-1.0,0,0,0
www.icclindia.com,sroy.co.in,13.5,-1.0,-1.0,1,0,0
www.icclindia.com,parsstore.in,6.079545454545455,-1.0,-1.0,0,0,0
www.icclindia.com,atmiyacncsolutions.in,32.15007215007215,-1.0,-1.0,0,0,0
www.icclindia.com,shradhahospital.in,19.248196248196248,-1.0,-1.0,0,0,0
www.icclindia.com,marzi.co.in,20.649350649350648,-1.0,-1.0,0,0,0
www.icclindia.com,sidcollege.in,36.540209790209786,-1.0,-1.0,0,0,0
www.icclindia.com,ekayafootwear.co.in,8.789473684210527,0.0,-1.0,0,0,0
www.icclindia.com,elricaglobal.co.in,32.91666666666667,-1.0,-1.0,0,0,0
www.icclindia.com,waggintales.in,20.000999000999,0.0,-1.0,0,0,0
